Club,Squad,&oslash-Age,WC particip.,Foreigners,Market Value,&oslash-Market Value
France,26,27.0,17,73.1 %,€1.52bn,€58.58m
England,26,27.2,17,19.2 %,€1.36bn,€52.43m
Spain,26,26.8,18,34.6 %,€1.22bn,€47.03m
Portugal,26,28.1,10,80.8 %,€1.01bn,€38.67m
Germany,26,28.1,21,26.9 %,€947.00m,€36.42m
Brazil,26,29.4,23,73.1 %,€928.20m,€35.70m
Argentina,26,29.2,20,92.3 %,€807.50m,€31.06m
Netherlands,26,27.8,12,92.3 %,€754.20m,€29.01m
Norway,26,26.8,4,84.6 %,€589.90m,€22.69m
Belgium,26,27.6,15,88.5 %,€547.50m,€21.06m
Ivory Coast,26,25.9,4,100.0 %,€522.10m,€20.08m
Senegal,26,27.1,4,100.0 %,€478.10m,€18.39m
Turkiye,26,27.7,3,42.3 %,€473.70m,€18.22m
Morocco,26,26.6,8,92.3 %,€447.70m,€17.22m
Sweden,26,27.6,13,88.5 %,€406.08m,€15.62m
Croatia,26,28.4,7,92.3 %,€387.30m,€14.90m
United States,26,26.9,12,73.1 %,€385.65m,€14.83m
Ecuador,26,26.1,5,92.3 %,€368.70m,€14.18m
Uruguay,26,28.8,16,100.0 %,€359.30m,€13.82m
Switzerland,26,28.3,13,92.3 %,€332.50m,€12.79m
Colombia,26,30.1,7,96.2 %,€302.35m,€11.63m
Japan,26,27.5,8,88.5 %,€270.85m,€10.42m
Algeria,26,26.9,5,88.5 %,€256.90m,€9.88m
Austria,26,28.6,9,88.5 %,€245.20m,€9.43m
Ghana,26,27.0,5,96.2 %,€234.35m,€9.01m
Canada,26,27.0,3,92.3 %,€198.65m,€7.64m
Mexico,26,27.9,18,53.8 %,€191.85m,€7.38m
Czechia,26,27.7,2,34.6 %,€188.18m,€7.24m
Scotland,26,29.2,9,69.2 %,€170.25m,€6.55m
Paraguay,26,29.1,10,88.5 %,€153.65m,€5.91m
Bosnia-Herzegovina,26,26.5,2,96.2 %,€146.40m,€5.63m
Democratic Republic of the Congo,26,29.1,1,100.0 %,€143.90m,€5.53m
South Korea,26,28.1,12,73.1 %,€139.05m,€5.35m
Egypt,26,29.1,4,34.6 %,€116.48m,€4.48m
Uzbekistan,26,28.5,1,42.3 %,€85.33m,€3.28m
Australia,26,27.4,7,80.8 %,€77.45m,€2.98m
Tunisia,26,26.7,7,76.9 %,€69.95m,€2.69m
Haiti,26,27.6,2,96.2 %,€55.90m,€2.15m
Cape Verde,26,29.7,1,100.0 %,€54.50m,€2.10m
South Africa,26,26.8,4,26.9 %,€49.25m,€1.89m
Saudi Arabia,26,28.5,7,3.8 %,€40.68m,€1.56m
Panama,26,30.5,2,92.3 %,€34.55m,€1.33m
New Zealand,26,28.2,3,69.2 %,€34.35m,€1.32m
Iran,26,30.4,7,34.6 %,€32.05m,€1.23m
Curaçao,26,28.1,1,100.0 %,€25.78m,€991k
Iraq,26,26.9,2,61.5 %,€21.20m,€815k
Jordan,26,28.5,1,53.8 %,€20.30m,€781k
Qatar,26,29.5,2,3.8 %,€19.93m,€766k
Denmark,23,25.6,6,91.3 %,€365.00m,€15.87m
Italy,23,21.0,18,26.1 %,€315.70m,€13.73m
Greece,25,26.3,3,64.0 %,€275.60m,€11.02m
Georgia,27,26.3,0,92.6 %,€260.60m,€9.65m
Ukraine,25,26.6,1,48.0 %,€247.00m,€9.88m
Russia,33,26.4,4,9.1 %,€242.70m,€7.35m
Poland,26,26.3,9,80.8 %,€231.60m,€8.91m
Serbia,27,23.0,3,55.6 %,€209.50m,€7.76m
Hungary,29,25.7,9,58.6 %,€209.20m,€7.21m
Cameroon,24,23.7,8,91.7 %,€198.70m,€8.28m
Wales,27,26.6,2,74.1 %,€180.65m,€6.69m
Nigeria,23,26.6,6,95.7 %,€172.05m,€7.48m
Kosovo,27,26.5,0,96.3 %,€147.45m,€5.46m
Republic of Ireland,27,24.9,3,74.1 %,€146.85m,€5.44m
Mali,27,25.6,0,85.2 %,€116.55m,€4.32m
Burkina Faso,25,25.0,0,96.0 %,€110.50m,€4.42m
Slovenia,25,26.6,2,80.0 %,€100.50m,€4.02m
Iceland,24,27.7,1,91.7 %,€89.10m,€3.71m
Albania,26,27.4,0,92.3 %,€88.80m,€3.42m
Northern Ireland,23,23.8,3,100.0 %,€79.90m,€3.47m
Venezuela,27,25.6,0,81.5 %,€79.00m,€2.93m
The Gambia,23,25.2,0,100.0 %,€78.78m,€3.43m
Guinea,30,24.6,0,93.3 %,€74.13m,€2.47m
Montenegro,28,27.9,0,89.3 %,€69.43m,€2.48m
Israel,23,25.4,1,56.5 %,€68.10m,€2.96m
